feature,mean_abs_shap
cat__Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?_Some did,0.0018311475378981366
cat__Does your employer provide mental health benefits as part of healthcare coverage?_No,0.0018080653546439613
"cat__Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?_Yes, I experienced",0.0017921077158053833
cat__Would you bring up a mental health issue with a potential employer in an interview?_Maybe,0.001690742778049385
"cat__Do you think that discussing a mental health disorder with previous employers would have negative consequences?_Yes, all of them",0.0016436818420538224
cat__Do you think that discussing a mental health disorder with previous employers would have negative consequences?_I don't know,0.001546240454755127
"cat__If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:_Very easy",0.0014369635859686433
cat__Do you know the options for mental health care available under your employer-provided coverage?_No,0.001302677627485552
"cat__Were you aware of the options for mental health care provided by your previous employers?_Yes, I was aware of all of them",0.0012567131870933068
cat__Do you think that discussing a mental health disorder with previous employers would have negative consequences?_None of them,0.0012471584642760427
cat__Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?_Some of them,0.0012133498386229604
"cat__If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:_I don't know",0.0011885039783079087
cat__Have your previous employers provided mental health benefits?_Some did,0.001078265572720792
cat__Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?_I don't know,0.0010351646994656198
"cat__If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:_Very difficult",0.0010276110711544663
cat__Do you think that discussing a mental health disorder with your employer would have negative consequences?_Yes,0.0010079090146337744
cat__Do you feel that being identified as a person with a mental health issue would hurt your career?_Maybe,0.0009540467640300532
"cat__Do you feel that being identified as a person with a mental health issue would hurt your career?_Yes, it has",0.0008364441849800554
cat__Does your employer provide mental health benefits as part of healthcare coverage?_I don't know,0.0008276428582915394
"cat__Have your previous employers provided mental health benefits?_Yes, they all did",0.0007821611867934251
cat__Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?_I don't know,0.000736848819521846
"cat__Did you feel that your previous employers took mental health as seriously as physical health?_Yes, they all did",0.0006332333269560986
cat__Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?_Sometimes,0.0006265751245830609
cat__How willing would you be to share with friends and family that you have a mental illness?_Not open at all,0.0006089433248908063
"cat__Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?_Yes, always",0.0005899967451344026
cat__What country do you live in?_Canada,0.0005536798197649139
cat__Did you feel that your previous employers took mental health as seriously as physical health?_I don't know,0.000471079660190163
cat__What country do you work in?_Canada,0.0004075700447829046
"cat__If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?_Often",0.0002877911654081275
cat__Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?_Yes,0.00024721560340386774
"cat__Would you have been willing to discuss a mental health issue with your direct supervisor(s)?_Yes, at all of my previous employers",0.00022346172268124449
cat__Would you have been willing to discuss a mental health issue with your direct supervisor(s)?_I don't know,0.0002151008303127959
"cat__Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?_Yes, all of them",0.00016585821818875183
"cat__Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?_Yes, they do",0.0001405171083549025
"cat__Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?_No, they do not",0.00012080161124172962
cat__Do you think that discussing a physical health issue with your employer would have negative consequences?_Yes,0.00011355829197312465
"cat__Do you feel that being identified as a person with a mental health issue would hurt your career?_No, it has not",2.784268089746977e-05
cat__Which of the following best describes your work position?_Back-end Developer|Supervisor/Team Lead,9.329307650491954e-06
cat__What country do you live in?_Italy,3.3233517645924044e-06
cat__Which of the following best describes your work position?_Front-end Developer|Back-end Developer|DevOps/SysAdmin,3.3057509701998862e-06
cat__Which of the following best describes your work position?_Back-end Developer|Front-end Developer|One-person shop,0.0
cat__What country do you work in?_Belgium,0.0
cat__What country do you live in?_Belgium,0.0
